map,killer,escapes,escape,perk1,perk2,perk3,perk4,item,addon1,addon2,offering,pips,swf
Gas Heaven,Legion,2,N,Prove Thyself (U),This Is Not Happening (U),,,Worn-Out Tools (C),Socket Swivels (U),Instructions (C),Bog Laurel Sachet (C),0,N
Suffocation Pit,Trapper,3,N,Prove Thyself (U),This Is Not Happening (U),,,Worn-Out Tools (C),Instructions (C),,Shroud of Union (U),0,N
Lampkin Lane,Wraith,4,N,Prove Thyself (U),Resilience (U),,,Worn-Out Tools (C),,,Torn Blueprint (C),-1,N
Fractured Cowshed,Wraith,4,Y,Prove Thyself (U),Resilience (U),,,,,,Sealed Envelope (U),0,N
Mother's Dwelling,Nurse,4,Y,Prove Thyself (U),Resilience (R),,,Toolbox (U),,,Sweet William Sachet (C),1,N
The Temple of Purgation,Hillbilly,4,Y,Prove Thyself (U),Resilience (R),,,Toolbox (U),Instructions (C),,Annotated Blueprint (C),1,N
Family Residence,Legion,0,N,Prove Thyself (U),Resilience (R),Spine Chill (U),,Toolbox (U),Instructions (C),,Hazy Reagent (U),-1,N
Treatment Theatre,Trapper,3,Y,Prove Thyself (U),Resilience (R),Spine Chill (U),,Worn-Out Tools (C),,,,1,N
Lampkin Lane,Shape,1,N,Prove Thyself (U),Resilience (R),Spine Chill (R),,Worn-Out Tools (C),Clean Rag (C),,,1,N
Fractured Cowshed,Wraith,2,N,Prove Thyself (U),Resilience (R),Spine Chill (R),,Camping Aid Kit (C),Bandages (C),Butterfly Tape (C),Fresh Sweet William (U),1,N
Mount Ormond Resort,Pig,1,Y,Prove Thyself (R),Resilience (R),Spine Chill (R),,First Aid Kit (U),,,Annotated Blueprint (C),1,N
The Thompson House,Executioner,3,N,Prove Thyself (R),Resilience (R),Spine Chill (R),,Worn-Out Tools (C),Socket Swivels (U),Wire Spool (U),Crispleaf Amaranth Sachet (C),0,N
Wretched Shop,Executioner,0,N,Prove Thyself (R),Resilience (R),Spine Chill (R),,First Aid Kit (U),Gauze Roll (U),Rubber Gloves (C),Fresh Bog Laurel (U),0,N
Mother's Dwelling,Wraith,2,Y,Prove Thyself (R),Resilience (R),Spine Chill (R),,Flashlight (U),Rubber Grip (U),Focus Lens (U),Vigo's Blueprint (C),1,N
Groaning Storehouse,Wraith,0,N,Prove Thyself (R),Resilience (R),Spine Chill (R),Leader (R),Flashlight (U),Power Bulb (C),Leather Grip (C),Fresh Sweet William (U),0,N
Lampkin Lane,Doctor,0,N,Prove Thyself (R),Resilience (R),Spine Chill (R),Leader (R),Toolbox (U),Socket Swivels (U),Scraps (C),Vigo's Shroud (U),1,N
Gas Heaven,Executioner,1,Y,Prove Thyself (R),Resilience (R),Spine Chill (R),Leader (R),Flashlight (U),Power Bulb (C),Leather Grip (C),Vigo's Blueprint (C),1,N
The Temple of Purgation,Wraith,4,Y,Streetwise (U),Urban Evasion (U),,,Camping Aid Kit (C),,,Fresh Bog Laurel (U),0,N
Coal Tower,Nemesis,1,Y,Streetwise (U),Urban Evasion (U),,,Camping Aid Kit (C),Bandages (C),Medical Scissors (U),Shroud of Union (U),1,N
Shelter Woods,Legion,0,N,Streetwise (U),Urban Evasion (U),,,Toolbox (U),Wire Spool (U),Scraps (C),Escape! Cake (U),-1,N
Torment Creek,Twins,3,Y,Streetwise (U),Urban Evasion (U),,,First Aid Kit (U),Bandages (C),,Sweet William Sachet (C),1,N
Dead Dawg Saloon,Hillbilly,0,N,Streetwise (U),Urban Evasion (U),,,First Aid Kit (U),Butterfly Tape (C),,Shroud of Binding (V),1,N
Father Campbell's Chapel,Huntress,4,Y,Prove Thyself (R),Resilience (R),Spine Chill (R),Leader (R),Worn-Out Tools (C),Instructions (C),Scraps (C),Escape! Cake (U),1,N
Badham Preschool V,Trickster,4,N,Saboteur (U),Iron Will (U),,,Sport Flashlight (R),Wide Lens (C),,Bloodied Blueprint (C),-1,N
Treatment Theatre,Blight,4,N,Streetwise (U),Urban Evasion (U),Balanced Landing (R),,Worn-Out Tools (C),,,Chalk Pouch (C),0,N
Lampkin Lane,Ghostface,4,Y,Streetwise (U),Urban Evasion (U),Situational Awareness (U),,Worn-Out Tools (C),,,Chalk Pouch (C),1,N
Eyrie of Crows,Pig,4,N,Streetwise (U),Urban Evasion (U),Situational Awareness (U),,Worn-Out Tools (C),Instructions (C),Clean Rag (C),Chalk Pouch (C),-1,N
Treatment Theatre,Trapper,3,N,Streetwise (U),Urban Evasion (U),Situational Awareness (U),,Flashlight (U),Long Life Battery (R),Leather Grip (C),Annotated Blueprint (C),0,N
Father Campbell's Chapel,Nurse,4,Y,Streetwise (U),Urban Evasion (R),Balanced Landing (R),,Camping Aid Kit (C),Medical Scissors (U),,Tarnished Coin (U),1,N
Treatment Theatre,Pig,1,Y,Streetwise (U),Urban Evasion (R),Balanced Landing (R),,Ranger Med-Kit (V),,,Hazy Reagent (U),1,N
The Game,Nemesis,1,N,Streetwise (R),Urban Evasion (R),Balanced Landing (R),,Ranger Med-Kit (V),Gauze Roll (U),,Primrose Blossom Sachet (C),0,N
Badham Preschool II,Onryo,1,Y,Streetwise (R),Urban Evasion (R),Balanced Landing (R),Situational Awareness (R),Camping Aid Kit (C),Self Adherent Wrap (U),,Fresh Primrose Blossom (U),1,N
Badham Preschool V,Hillbilly,4,Y,Streetwise (R),Urban Evasion (R),Balanced Landing (R),Situational Awareness (R),Worn-Out Tools (C),Socket Swivels (U),Protective Gloves (U),Fresh Bog Laurel (U),1,N
The Temple of Purgation,Artist,0,N,Technician (R),Alert (V),Small Game (U),Spine Chill (U),Toolbox (U),,,Escape! Cake (U),0,N
The Game,Blight,2,Y,Technician (R),Alert (V),Small Game (U),Spine Chill (U),Toolbox (U),Instructions (C),,Sealed Envelope (U),2,N
Disturbed Ward,Trapper,4,Y,Technician (R),Alert (V),Small Game (U),Spine Chill (R),Toolbox (U),,,Vigo's Shroud (U),0,N
Mother's Dwelling,Clown,0,N,Technician (R),Alert (V),Small Game (U),Spine Chill (R),Toolbox (U),,,Bog Laurel Sachet (C),0,N
Raccoon City Police Station,Trapper,4,Y,Technician (R),Alert (V),Kindred (U),Spine Chill (R),Toolbox (U),,,Bog Laurel Sachet (C),1,N
Azarov's Resting Place,Doctor,4,Y,Technician (R),Alert (V),Kindred (U),Spine Chill (R),Commodious Toolbox (R),Instructions (C),Socket Swivels (U),Ivory Chalk Pouch (R),1,N
Father Campbell's Chapel,Doctor,4,Y,Technician (R),Alert (V),Kindred (R),Spine Chill (R),Commodious Toolbox (R),Cutting Wire (U),,Ivory Chalk Pouch (R),1,N
Torment Creek,Hillbilly,4,N,Technician (R),Alert (V),Lithe (V),Spine Chill (R),Commodious Toolbox (R),Clean Rag (C),Cutting Wire (U),Sealed Envelope (U),0,N
The Pale Rose,Ghostface,4,Y,Technician (R),Alert (V),Lithe (V),Spine Chill (R),Toolbox (U),Instructions (C),,Fresh Primrose Blossom (U),0,N
Badham Preschool III,Wraith,4,Y,Technician (R),Alert (V),Lithe (V),Spine Chill (R),Toolbox (U),,,Escape! Cake (U),0,N
Suffocation Pit,Pig,3,Y,Technician (R),Alert (V),Lithe (V),Spine Chill (R),Toolbox (U),Cutting Wire (U),,Escape! Cake (U),1,N
Lampkin Lane,Pig,2,N,Technician (R),Alert (V),Lithe (V),Spine Chill (V),Toolbox (U),Scraps (C),,Shroud of Union (U),0,N
Fractured Cowshed,Nemesis,4,Y,Technician (R),Alert (V),Lithe (V),Spine Chill (V),First Aid Kit (U),Gauze Roll (U),Needle & Thread (U),Shroud of Union (U),1,N
Rancid Abattoir,Pig,3,Y,Technician (R),Alert (V),Lithe (V),Spine Chill (V),First Aid Kit (U),Self Adherent Wrap (U),Medical Scissors (U),Crispleaf Amaranth Sachet (C),2,N
Treatment Theatre,Oni,1,Y,Technician (R),Alert (V),Lithe (V),Spine Chill (V),Worn-Out Tools (C),Brand New Part (L),Grip Wrench (R),Crispleaf Amaranth Sachet (C),0,N
Wreckers Yard,Doctor,3,Y,Technician (R),Alert (V),Lithe (V),Spine Chill (V),First Aid Kit (U),Self Adherent Wrap (U),Medical Scissors (U),Fragrant Primrose Blossom (R),1,N
Sanctum of Wrath,Ghostface,0,N,Technician (R),Alert (V),Lithe (V),Spine Chill (V),Mechanics Toolbox (R),Cutting Wire (U),Spring Clamp (U),Sweet William Sachet (C),-1,N
Lampkin Lane,Twins,2,N,Technician (R),Alert (V),Lithe (V),Spine Chill (V),First Aid Kit (U),Self Adherent Wrap (U),Bandages (C),Sweet William Sachet (C),1,N
Badham Preschool I,Plague,1,N,Technician (V),Resilience (R),Lithe (V),Spine Chill (V),First Aid Kit (U),Self Adherent Wrap (U),Bandages (C),Ivory Chalk Pouch (R),0,N
The Game,Cenobite,1,N,Technician (V),Resilience (R),Lithe (V),Spine Chill (V),Worn-Out Tools (C),,,Crispleaf Amaranth Sachet (C),-1,N
Sanctum of Wrath,Ghostface,1,N,Technician (V),Alert (V),Lithe (V),Spine Chill (V),Worn-Out Tools (C),,,Crispleaf Amaranth Sachet (C),-1,N
Fractured Cowshed,Ghostface,0,N,Technician (V),Alert (V),Lithe (V),Spine Chill (V),First Aid Kit (U),Bandages (C),Butterfly Tape (C),Crispleaf Amaranth Sachet (C),0,N
Badham Preschool IV,Oni,3,Y,Technician (V),Alert (V),Lithe (V),Spine Chill (V),Worn-Out Tools (C),Scraps (C),,Shroud of Union (U),0,N
Suffocation Pit,Trapper,4,Y,Technician (V),Alert (V),Lithe (V),Spine Chill (V),Toolbox (U),,,Black Salt Statuette (R),1,N
Lampkin Lane,Doctor,0,N,Technician (V),Alert (V),Lithe (V),Spine Chill (V),Toolbox (U),,,Fragrant Sweet William (R),-1,N
Suffocation Pit,Nightmare,3,Y,Technician (V),Alert (V),Lithe (V),Spine Chill (V),First Aid Kit (U),Self Adherent Wrap (U),Medical Scissors (U),Macmillan's Phalanx Bone (R),1,N
Lampkin Lane,Huntress,4,Y,Technician (V),Alert (V),Lithe (V),Spine Chill (V),First Aid Kit (U),Bandages (C),Butterfly Tape (C),Escape! Cake (U),1,N
Groaning Storehouse,Ghostface,2,Y,Technician (V),Alert (V),Lithe (V),Spine Chill (V),First Aid Kit (U),Bandages (C),Butterfly Tape (C),Macmillan's Phalanx Bone (R),1,N
The Game,Ghostface,0,N,Technician (V),Alert (V),Lithe (V),Spine Chill (V),Worn-Out Tools (C),Scraps (C),Grip Wrench (R),Shroud of Union (U),0,N
Sanctum of Wrath,Legion,3,N,Technician (V),Alert (V),Lithe (V),Spine Chill (V),First Aid Kit (U),Gel Dressings (R),Medical Scissors (U),Bog Laurel Sachet (C),0,N
Sanctum of Wrath,Trickster,1,N,Technician (V),Alert (V),Lithe (V),Spine Chill (V),Worn-Out Tools (C),Scraps (C),Instructions (C),Primrose Blossom Sachet (C),0,N
Sanctum of Wrath,Pig,1,Y,Technician (V),Alert (V),Lithe (V),Spine Chill (V),Camping Aid Kit (C),Bandages (C),Butterfly Tape (C),Primrose Blossom Sachet (C),1,N
Father Campbell's Chapel,Huntress,1,N,Technician (V),Alert (V),Lithe (V),Spine Chill (V),Camping Aid Kit (C),Bandages (C),Butterfly Tape (C),Crispleaf Amaranth Sachet (C),0,N
Wretched Shop,Trapper,1,N,Borrowed Time (U),Resilience (V),Lithe (V),Spine Chill (V),Toolbox (U),Scraps (C),Socket Swivels (U),Fresh Sweet William (U),0,N
Mount Ormond Resort,Nemesis,1,N,Borrowed Time (U),Alert (V),Lithe (V),Spine Chill (V),Worn-Out Tools (C),,,Fresh Bog Laurel (U),-1,N
Grim Pantry,Trapper,2,Y,Borrowed Time (U),Alert (V),Lithe (V),Spine Chill (V),Alex's Toolbox (V),Instructions (C),,Cream Chalk Pouch (U),2,N
Treatment Theatre,Legion,4,Y,Borrowed Time (U),Alert (V),Lithe (V),Spine Chill (V),Alex's Toolbox (V),,,Fresh Crispleaf Amaranth (U),0,N
Father Campbell's Chapel,Twins,4,Y,Borrowed Time (U),Alert (V),Lithe (V),Spine Chill (V),Alex's Toolbox (V),Instructions (C),,Vigo's Shroud (U),0,N
Shelter Woods,Trapper,1,Y,Borrowed Time (U),Alert (V),Lithe (V),Spine Chill (V),Alex's Toolbox (V),Hacksaw (R),,Sealed Envelope (U),1,N
Mother's Dwelling,Legion,0,N,Borrowed Time (U),Alert (V),Lithe (V),Spine Chill (V),Alex's Toolbox (V),Instructions (C),,Fresh Sweet William (U),-1,N
Lampkin Lane,Hillbilly,4,Y,Borrowed Time (U),Alert (V),Lithe (V),Spine Chill (V),First Aid Kit (U),Medical Scissors (U),Surgical Suture (R),Escape! Cake (U),0,N
Lampkin Lane,Pig,2,Y,Borrowed Time (U),Alert (V),Lithe (V),Spine Chill (V),Mechanics Toolbox (R),Scraps (C),,White Ward (V),2,N
Wreckers Yard,Executioner,4,Y,Borrowed Time (R),Alert (V),Lithe (V),Spine Chill (V),Mechanics Toolbox (R),Scraps (C),Socket Swivels (U),Vigo's Shroud (U),0,N
The Pale Rose,Trapper,1,Y,Borrowed Time (R),Resilience (V),Lithe (V),Spine Chill (V),Mechanics Toolbox (R),Socket Swivels (U),Instructions (C),Murky Reagent (V),1,N
Wreckers Yard,Trickster,2,Y,Borrowed Time (V),Resilience (V),Lithe (V),Spine Chill (V),First Aid Kit (U),Self Adherent Wrap (U),Bandages (C),Fresh Primrose Blossom (U),1,N
The Thompson House,Clown,3,Y,Borrowed Time (V),Resilience (V),Lithe (V),Spine Chill (V),First Aid Kit (U),Surgical Suture (R),Bandages (C),Escape! Cake (U),1,N
Dead Dawg Saloon,Huntress,4,Y,Borrowed Time (V),Resilience (V),Dead Hard (U),Spine Chill (V),First Aid Kit (U),Gel Dressings (R),Butterfly Tape (C),Fresh Crispleaf Amaranth (U),0,N
Grim Pantry,Huntress,0,N,Borrowed Time (V),Resilience (V),Dead Hard (R),Spine Chill (V),Ranger Med-Kit (V),Sponge (U),Butterfly Tape (C),White Ward (V),0,N
Groaning Storehouse,Cenobite,4,Y,Borrowed Time (V),Resilience (V),Dead Hard (V),Spine Chill (V),Ranger Med-Kit (V),Sponge (U),Butterfly Tape (C),White Ward (V),1,N
Badham Preschool III,Cannibal,4,Y,Borrowed Time (V),Resilience (V),Dead Hard (V),Spine Chill (V),Ranger Med-Kit (V),Sponge (U),Butterfly Tape (C),Sealed Envelope (U),1,N
Lampkin Lane,Huntress,0,N,Borrowed Time (V),Resilience (V),Dead Hard (V),Spine Chill (V),Ranger Med-Kit (V),Butterfly Tape (C),Rubber Gloves (C),Fresh Primrose Blossom (U),0,N
Ironworks of Misery,Doctor,1,Y,Borrowed Time (V),Resilience (V),Dead Hard (V),Spine Chill (V),Mechanics Toolbox (R),Clean Rag (C),Instructions (C),Fresh Bog Laurel (U),1,N
Mount Ormond Resort,Huntress,4,Y,Borrowed Time (V),Resilience (V),Dead Hard (V),Spine Chill (V),Mechanics Toolbox (R),Clean Rag (C),Instructions (C),Fresh Sweet William (U),1,N
Father Campbell's Chapel,Hillbilly,3,Y,Borrowed Time (V),Resilience (V),Dead Hard (V),Spine Chill (V),Mechanics Toolbox (R),Scraps (C),Cutting Wire (U),Fresh Bog Laurel (U),1,N
Mother's Dwelling,Trapper,-1,N,Borrowed Time (V),Resilience (V),Dead Hard (V),Spine Chill (V),First Aid Kit (U),Abdominal Dressing (R),Rubber Gloves (C),Shroud of Union (U),0,N
The Thompson House,Nemesis,4,Y,Saboteur (R),Iron Will (R),Kindred (U),,First Aid Kit (U),Medical Scissors (U),Bandages (C),Vigo's Shroud (U),1,N
Azarov's Resting Place,Pig,3,N,Saboteur (R),Iron Will (R),Kindred (U),,First Aid Kit (U),,,Shroud of Union (U),0,N
The Pale Rose,Nurse,2,N,Saboteur (R),Iron Will (R),Kindred (U),,Camping Aid Kit (C),Gauze Roll (U),Needle & Thread (U),Primrose Blossom Sachet (C),0,N
Lampkin Lane,Ghostface,0,N,Saboteur (R),Iron Will (R),Kindred (R),No One Left Behind (R),Camping Aid Kit (C),,,Shroud of Union (U),0,N
Azarov's Resting Place,Nemesis,2,Y,Saboteur (R),Iron Will (R),Kindred (R),No One Left Behind (R),First Aid Kit (U),Medical Scissors (U),,Fresh Crispleaf Amaranth (U),1,N
Ironworks of Misery,Oni,4,Y,Saboteur (R),Iron Will (R),Kindred (R),No One Left Behind (R),First Aid Kit (U),Medical Scissors (U),Self Adherent Wrap (U),Cream Chalk Pouch (U),1,N
Mount Ormond Resort,Clown,0,N,Saboteur (R),Iron Will (R),Kindred (R),No One Left Behind (R),First Aid Kit (U),Medical Scissors (U),Butterfly Tape (C),Sealed Envelope (U),1,N
Sanctum of Wrath,Trapper,0,N,Saboteur (R),Iron Will (R),Kindred (R),Dead Hard (R),Emergency Med-Kit (R),Bandages (C),Rubber Gloves (C),Bog Laurel Sachet (C),0,N
Disturbed Ward,Nemesis,-1,N,Saboteur (R),Iron Will (R),Kindred (R),Dead Hard (R),Toolbox (U),Cutting Wire (U),Grip Wrench (R),Cream Chalk Pouch (U),0,N
The Pale Rose,Doctor,4,Y,Borrowed Time (V),Resilience (V),Dead Hard (V),Spine Chill (V),Toolbox (U),,,Sweet William Sachet (C),1,N
Blood Lodge,Shape,0,N,Borrowed Time (V),Resilience (V),Dead Hard (V),Spine Chill (V),Mechanics Toolbox (R),Brand New Part (L),,Sealed Envelope (U),0,N
Raccoon City Police Station,Legion,2,N,Borrowed Time (V),Resilience (V),Lithe (V),Spine Chill (V),Camping Aid Kit (C),,,Sealed Envelope (U),1,N
Treatment Theatre,Hillbilly,1,Y,Borrowed Time (V),Resilience (V),Lithe (V),Spine Chill (V),Camping Aid Kit (C),Abdominal Dressing (R),Rubber Gloves (C),Primrose Blossom Sachet (C),2,N
Father Campbell's Chapel,Cannibal,3,Y,Borrowed Time (V),Resilience (V),Dead Hard (V),Spine Chill (V),Commodious Toolbox (R),Instructions (C),,Sweet William Sachet (C),1,N
Eyrie of Crows,Wraith,3,Y,Streetwise (R),Urban Evasion (R),Balanced Landing (R),Situational Awareness (R),Worn-Out Tools (C),Instructions (C),Spring Clamp (U),Sealed Envelope (U),1,N
Eyrie of Crows,Nurse,4,Y,Streetwise (R),Urban Evasion (R),Balanced Landing (R),Situational Awareness (R),First Aid Kit (U),Bandages (C),Butterfly Tape (C),Fresh Primrose Blossom (U),1,N
Ironworks of Misery,Legion,1,Y,Saboteur (R),Iron Will (R),Kindred (R),Dead Hard (R),First Aid Kit (U),Bandages (C),Medical Scissors (U),Sealed Envelope (U),0,N
Dead Dawg Saloon,Nurse,2,N,Saboteur (V),Iron Will (R),Kindred (R),Dead Hard (R),First Aid Kit (U),Bandages (C),Medical Scissors (U),Bound Envelope (R),0,N
Ironworks of Misery,Hag,0,N,Saboteur (V),Iron Will (R),Kindred (R),Dead Hard (R),Camping Aid Kit (C),Butterfly Tape (C),,Escape! Cake (U),0,N
The Pale Rose,Hag,0,N,Saboteur (V),Iron Will (R),Kindred (R),Dead Hard (R),Camping Aid Kit (C),,,Shroud of Binding (V),0,N
Badham Preschool II,Wraith,1,Y,Saboteur (V),Resilience (R),Kindred (R),Dead Hard (R),Emergency Med-Kit (R),,,Shroud of Union (U),1,N
The Thompson House,Huntress,4,Y,Saboteur (V),Resilience (R),Borrowed Time (U),Dead Hard (R),Emergency Med-Kit (R),,,Shroud of Union (U),0,N
Blood Lodge,Nurse,0,N,Saboteur (V),Resilience (R),Borrowed Time (R),Dead Hard (R),Emergency Med-Kit (R),Medical Scissors (U),Needle & Thread (U),Hazy Reagent (U),0,N
Lampkin Lane,Huntress,4,Y,Saboteur (V),Resilience (R),Borrowed Time (R),Dead Hard (R),Toolbox (U),Protective Gloves (U),Cutting Wire (U),Hazy Reagent (U),2,N
Midwich Elementary School,Legion,0,N,Saboteur (V),Resilience (R),Borrowed Time (R),Dead Hard (R),Toolbox (U),Protective Gloves (U),Clean Rag (C),Hazy Reagent (U),1,N
The Temple of Purgation,Hag,3,Y,Saboteur (V),Resilience (R),Borrowed Time (R),Dead Hard (R),First Aid Kit (U),Gel Dressings (R),Bandages (C),Fresh Primrose Blossom (U),1,N
The Pale Rose,Trapper,1,N,Saboteur (V),Resilience (R),Borrowed Time (V),Dead Hard (R),First Aid Kit (U),Gel Dressings (R),Rubber Gloves (C),Fragrant Bog Laurel (R),-1,N
Suffocation Pit,Huntress,1,N,Saboteur (V),Resilience (R),Borrowed Time (V),Dead Hard (R),First Aid Kit (U),,,Primrose Blossom Sachet (C),1,N
Disturbed Ward,Trapper,3,Y,Saboteur (V),Resilience (R),Borrowed Time (V),Dead Hard (R),Toolbox (U),Scraps (C),Socket Swivels (U),Primrose Blossom Sachet (C),0,N
The Game,Nemesis,4,Y,Saboteur (V),Resilience (R),Borrowed Time (V),Dead Hard (R),Toolbox (U),Scraps (C),Socket Swivels (U),Bog Laurel Sachet (C),1,N
Dead Dawg Saloon,Oni,4,Y,Saboteur (V),Resilience (R),Borrowed Time (V),Dead Hard (R),Toolbox (U),Scraps (C),Hacksaw (R),Bog Laurel Sachet (C),1,N
Badham Preschool V,Demogorgon,3,Y,Saboteur (V),Resilience (R),Borrowed Time (V),Dead Hard (R),Toolbox (U),Clean Rag (C),Scraps (C),Bog Laurel Sachet (C),2,N
Grim Pantry,Trapper,1,N,Saboteur (V),Resilience (R),Borrowed Time (V),Dead Hard (R),Toolbox (U),Clean Rag (C),Scraps (C),Bog Laurel Sachet (C),0,N
The Temple of Purgation,Shape,4,Y,Saboteur (V),Resilience (R),Borrowed Time (V),Dead Hard (R),Commodious Toolbox (R),Scraps (C),Socket Swivels (U),Bog Laurel Sachet (C),1,N
Lampkin Lane,???,4,Y,Saboteur (V),Resilience (V),Borrowed Time (V),Dead Hard (R),Commodious Toolbox (R),Scraps (C),Instructions (C),Fresh Primrose Blossom (U),0,N
Groaning Storehouse,Nurse,4,Y,Saboteur (V),Resilience (V),Borrowed Time (V),Dead Hard (R),Commodious Toolbox (R),Scraps (C),Instructions (C),Tarnished Coin (U),1,N
